"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""99 Schöfflisdorf"",""Secteur économique - total"",92,328,211,117,203,107,96"
"2021,""99 Schöfflisdorf"",""Secteur primaire"",7,16,X,X,11,X,X"
"2021,""99 Schöfflisdorf"",""Secteur secondaire"",13,23,X,X,19,X,X"
"2021,""99 Schöfflisdorf"",""Secteur tertiaire"",72,289,198,91,173,101,72"
"2021,""100 Stadel"",""Secteur économique - total"",145,518,258,260,356,146,210"
"2021,""100 Stadel"",""Secteur primaire"",34,85,32,53,54,18,36"
"2021,""100 Stadel"",""Secteur secondaire"",17,57,17,40,48,11,38"
"2021,""100 Stadel"",""Secteur tertiaire"",94,376,209,167,254,118,136"
"2021,""101 Steinmaur"",""Secteur économique - total"",226,840,404,436,604,237,367"
"2021,""101 Steinmaur"",""Secteur primaire"",27,184,82,102,145,62,83"
"2021,""101 Steinmaur"",""Secteur secondaire"",37,162,44,118,137,26,111"
"2021,""101 Steinmaur"",""Secteur tertiaire"",162,494,278,216,322,149,173"
"2021,""102 Weiach"",""Secteur économique - total"",106,304,124,180,217,68,149"
"2021,""102 Weiach"",""Secteur primaire"",10,26,X,X,16,X,X"
"2021,""102 Weiach"",""Secteur secondaire"",18,94,X,X,85,X,X"
"2021,""102 Weiach"",""Secteur tertiaire"",78,184,105,79,117,59,57"
