,NOM_COM,INSEE_COM,x,y
356,Castelnau-de-Guers,34056,738129.344085665,6259724.01438001
357,Méjannes-lès-Alès,30165,792146.34447669,6334308.49474448
358,Saint-Nazaire-de-Ladarez,34279,706473.276254029,6268718.56435107
359,Thoiras,30329,773782.236927611,6330038.53971863
360,Laval-Pradel,30142,785065.556827387,6346835.82393867
361,Marvejols,48092,722875.210555313,6384326.10556726
362,Arrigas,30017,738557.640176301,6321407.24738325
363,Saint-Privat-du-Fau,48179,728108.140336151,6424439.85344622
364,Saint-Martin-de-Lansuscle,48171,759973.572597476,6347402.47883549
365,Capestang,34052,703899.809233719,6246971.84938005
366,Le Clapier,12067,713953.424769885,6303293.31043186
367,Montaren-et-Saint-Médiers,30174,810867.569992843,6328290.01341415
368,Luc,48086,768599.992826719,6393408.04105659
369,Brenoux,48030,742383.551430134,6376616.79324078
370,Lacroix-Barrez,12118,671727.532412666,6408339.66080189
371,Murles,34177,761074.128551915,6289532.45347971
372,Montrodat,48103,726174.666329577,6384353.35428887
373,Moulin-Mage,81188,681947.887425289,6291179.48510765
374,Saint-Jean-du-Bruel,12231,730629.164266721,6325330.25055176
375,Saint-Paul-la-Coste,30291,777584.48393918,6339913.54578196
376,Trèves,30332,731380.707840757,6330244.78090844
377,Rochefort-du-Gard,30217,834864.127978545,6321703.43162192
378,Vabres,30335,770959.528914827,6325650.19406507
379,Cultures,48055,730344.503524028,6377002.73822771
380,Saint-Parthem,12240,643816.512232084,6392965.25082649
381,Courniou,34086,675207.661820068,6265616.07323874
382,Gabian,34109,721389.375938131,6268838.48614192
383,Saint-Geniès-de-Malgoirès,30255,797332.631771862,6317119.62864829
384,Villemagne-l'Argentière,34335,709798.454580274,6280014.01455531
385,Sérignan,34299,724135.826620381,6241579.58557797
386,Saint-Saturnin-de-Lenne,12247,701789.025774874,6367816.93404686
387,Fournès,30116,828788.607862058,6316205.71820695
388,Monoblet,30172,770488.376907931,6322343.63648235
389,Saint-Sernin-sur-Rance,12248,669713.722526659,6308925.7075334
390,Les Hermaux,48073,710483.578175937,6380497.07908574
391,Sainte-Eulalie-d'Olt,12219,693567.726931961,6374135.8922156
392,Comprégnac,12072,698364.740037443,6333006.05626308
393,La Sauzière-Saint-Jean,81279,591507.644363423,6318183.79230774
394,Saint-Christol-lès-Alès,30243,786187.382310594,6332245.14886035
395,Lodève,34142,724644.707054905,6292447.62114957
396,Balsièges,48016,735080.747185956,6375307.43488267
397,Saint-Martin-de-Londres,34274,756989.44795339,6299546.75321105
398,Camplong,34049,709039.944633273,6287792.26079966
399,Issirac,30134,817883.790956207,6353487.85687766
400,Allenc,48003,753737.765618512,6383892.37047866
401,Chanac,48039,727409.183376505,6372416.77429922
402,Murviel-lès-Béziers,34178,710950.336397639,6262097.58297186
403,Saint-Jean-du-Gard,30269,770285.560644236,6334601.27215757
404,La Capelle-Bonance,12055,702017.518854643,6372503.15264739
405,Rivière-sur-Tarn,12200,710196.945793586,6345806.10594789
406,Saint-Sever-du-Moustier,12249,675329.282978175,6297058.19663022
407,Les Salles-du-Gardon,30307,781331.634366948,6344445.67787366
408,Saint-Michel-de-Dèze,48173,770691.433926406,6349454.58893897
409,Vers-Pont-du-Gard,30346,821920.830935364,6319857.28250206
410,Lamelouze,30137,776887.312533415,6344708.97538111
411,Les Salelles,48185,721804.550307395,6376243.06494785
412,Mostuéjouls,12160,714577.646184069,6347362.24748958
413,La Roque-Sainte-Marguerite,12204,719364.506644982,6334492.94352017
414,Saint-André-de-Vézines,12211,721689.64622904,6338771.46779096
415,Trélans,48192,707432.410015366,6380209.00355741
416,Millau,12145,709401.313497641,6333156.58855851
417,La Canourgue,48034,720480.136761824,6368919.47993087
418,Esclanèdes,48056,729259.444195309,6375820.33328759
419,Creissels,12084,704802.937973868,6329539.61186709
420,Grèzes,48072,727323.109988381,6379708.23376185
421,Hures-la-Parade,48074,730890.830811148,6349952.1658045
422,Gorges du Tarn Causses,48146,736375.533690432,6362524.1730927
423,Veyreau,12293,724517.013688837,6342605.71731145
424,Bourgs sur Colagne,48099,718431.321530634,6381623.65846796
425,Monteils,30177,794614.384066534,6332943.8454461
426,Canaules-et-Argentières,30065,784106.400296304,6320586.35177008
427,Brignon,30053,797314.681341483,6322637.14382938
428,Saint-Jean-de-Serres,30267,786345.528529993,6321745.18254729
429,Ners,30188,792889.492453794,6325756.79689281
430,Saint-Nazaire-des-Gardies,30289,781490.204934081,6320691.36207941
431,Boisset-et-Gaujac,30042,782315.233950534,6328189.88511734
432,Privezac,12191,635889.920189914,6368206.42903215
433,Martignargues,30158,794418.334760623,6327607.12717756
