COM,NAME,PTOT
010595952105,Böxlund,115
010595952115,Großenwiehe,3213
010595952123,Hörup,622
010595952124,Holt,154
010595952129,Jardelund,302
010595952143,Medelby,993
010595952144,Meyn,737
010595952149,Nordhackstedt,475
010595952151,Osterby (Kreis Schleswig-Flensburg),312
010595952158,Schafflund,2939
010595952173,Wallsbüll,908
010595952177,Weesby,431
010595952179,Lindewitt,2008
010595974006,Böel,733
010595974055,Loit,260
010595974060,Mohrkirch,937
010595974063,Norderbrarup,656
010595974065,Nottfeld,116
010595974070,Rügge,240
010595974072,Saustrup,207
010595974074,Scheggerott,350
010595974080,Steinfeld (Kreis Schleswig-Flensburg),783
010595974083,Süderbrarup,5231
010595974094,Ulsnis,703
010595974095,Wagersrott,222
010595974187,Boren,1122
010595987008,Böklund,1673
010595987037,Havetoft,954
010595987042,Idstedt,880
010595987049,Klappholz,461
010595987062,Neuberend,1142
010595987073,Schaalby,1537
010595987081,Stolk,851
010595987082,Struxdorf,668
010595987084,Süderfahrenstedt,466
010595987086,Taarstedt,930
010595987090,Tolk,1042
010595987093,Uelsby,412
010595987097,Twedt,498
010595987098,Nübel,1283
010595987189,Brodersby-Goltoft,663
010595990102,Ahneby,207
010595990109,Esgrus,814
010595990112,Gelting,2312
010595990121,Hasselberg,927
010595990136,Kronsgaard,266
010595990142,Maasholm,660
010595990147,Nieby,128
010595990148,Niesgrau,545
010595990152,Pommerby,158
010595990154,Rabel,623
010595990155,Rabenholz,297
010595990163,Stangheck,228
010595990164,Steinberg (Kreis Schleswig-Flensburg),859
010595990167,Sterup,1423
010595990168,Stoltebüll,700
010595990186,Steinbergkirche,2817
010595993010,Bollingstedt,1403
010595993023,Ellingstedt,734
010595993039,Hollingstedt (Kreis Schleswig-Flensburg),1015
010595993041,Hüsby,751
010595993044,Jübek,2679
010595993057,Lürschau,1084
010595993077,Schuby,2738
010595993079,Silberstedt,2367
010595993092,Treia,1607
010595996001,Alt Bennebek,327
010595996005,Bergenhusen,726
010595996009,Börm,757
010595996020,Dörpstedt,591
010595996024,Erfde,2044
010595996035,Groß Rheide,943
010595996050,Klein Bennebek,526
010595996051,Klein Rheide,323
010595996053,Kropp,6557
010595996058,Meggerdorf,705
010595996087,Tetenhusen,967
010595996088,Tielen,292
010595996096,Wohlde,507
010595996188,Stapel,1927
010600004004,"Bad Bramstedt, Stadt",15161
010600005005,"Bad Segeberg, Stadt",17671
